Tools,Species,Recall,Precision,F1-score
BactSNP,E. coli,0.97,1.0,0.9847715736040609
GATK,E. coli,0.9871428571428571,0.9899713467048711,0.9885550786838341
Samtools,E. coli,0.9914285714285714,0.9956958393113343,0.9935576234788833
VarScan,E. coli,0.9842857142857143,0.9438356164383561,0.9636363636363636
Snippy,E. coli,0.9771428571428571,0.7450980392156863,0.8454882571075402
AccuSNV,E. coli,0.99,1.0,0.9949748743718593
Breseq,E. coli,0.9671428571428572,0.8021327014218009,0.8769430051813472
freeBayes,E. coli,0.9042857142857142,1.0,0.9497374343585896
BactSNP,C. acnes,0.9828571428571429,1.0,0.9913544668587896
GATK,C. acnes,0.9914285714285714,0.9871977240398293,0.9893086243763364
Samtools,C. acnes,0.9914285714285714,0.9928469241773963,0.9921372408863474
VarScan,C. acnes,0.9871428571428571,0.985734664764622,0.9864382583868665
Snippy,C. acnes,0.9857142857142858,0.8303249097472925,0.9013716525146963
AccuSNV,C. acnes,0.99,1.0,0.9949748743718593
Breseq,C. acnes,0.9742857142857143,0.9228687415426252,0.9478804725503822
freeBayes,C. acnes,0.9257142857142857,1.0,0.9614243323442137
BactSNP,K. pneumoniae,0.9828571428571429,1.0,0.9913544668587896
GATK,K. pneumoniae,0.9914285714285714,0.9760900140646976,0.9836995038979447
Samtools,K. pneumoniae,0.9957142857142857,0.9957142857142857,0.9957142857142857
VarScan,K. pneumoniae,0.9885714285714285,0.9746478873239437,0.9815602836879432
Snippy,K. pneumoniae,0.9842857142857143,0.6924623115577889,0.8129793510324483
AccuSNV,K. pneumoniae,0.9914285714285714,1.0,0.9956958393113343
Breseq,K. pneumoniae,0.9742857142857143,0.7866205305651672,0.8704530950861519
freeBayes,K. pneumoniae,0.9128571428571428,0.9953271028037384,0.9523099850968704
BactSNP,C. difficile,0.9657142857142857,1.0,0.9825581395348837
GATK,C. difficile,0.98,0.98,0.98
Samtools,C. difficile,0.9842857142857143,0.9942279942279942,0.9892318736539842
VarScan,C. difficile,0.9828571428571429,0.9529085872576177,0.9676511954992968
Snippy,C. difficile,0.9685714285714285,0.728249194414608,0.8313917841814837
AccuSNV,C. difficile,0.98,1.0,0.98989898989899
Breseq,C. difficile,0.96,0.7706422018348624,0.8549618320610687
freeBayes,C. difficile,0.8942857142857142,0.9968152866242038,0.9427710843373494
BactSNP,S. aureus,0.9728571428571429,1.0,0.9862418537291817
GATK,S. aureus,0.99,0.9774330042313117,0.9836763662171752
Samtools,S. aureus,0.9928571428571429,0.99002849002849,0.9914407988587732
VarScan,S. aureus,0.9885714285714285,0.9801699716713881,0.984352773826458
Snippy,S. aureus,0.9842857142857143,0.8039673278879813,0.8850353243416827
AccuSNV,S. aureus,0.9914285714285714,1.0,0.9956958393113343
Breseq,S. aureus,0.9571428571428572,0.8769633507853403,0.9153005464480874
freeBayes,S. aureus,0.9114285714285715,1.0,0.953662182361734
BactSNP,S. pneumoniae,0.9528571428571428,1.0,0.9758595464520848
GATK,S. pneumoniae,0.9785714285714285,0.9757834757834758,0.9771754636233951
Samtools,S. pneumoniae,0.9871428571428571,0.9913916786226685,0.9892627057981389
VarScan,S. pneumoniae,0.9828571428571429,0.9814550641940085,0.9821556031406139
Snippy,S. pneumoniae,0.9728571428571429,0.8544542032622334,0.9098196392785571
AccuSNV,S. pneumoniae,0.9857142857142858,1.0,0.9928057553956835
Breseq,S. pneumoniae,0.9585714285714285,0.8759791122715405,0.9154160982264665
freeBayes,S. pneumoniae,0.9014285714285715,1.0,0.9481592787377912
