Tools,Species,Recall,Precision,F1-score
BactSNP,E. coli,0.6314285714285715,1.0,0.7740805604203153
GATK,E. coli,0.9828571428571429,0.9717514124293786,0.9772727272727273
Samtools,E. coli,0.8657142857142858,0.9950738916256158,0.9258976317799847
VarScan,E. coli,0.45285714285714285,0.674468085106383,0.5418803418803418
Snippy,E. coli,0.0,0.0,0.0
AccuSNV,E. coli,0.9471428571428572,1.0,0.9728539985326485
Breseq,E. coli,0.8171428571428572,0.013340485575016908,0.026252380843105307
freeBayes,E. coli,0.8971428571428571,0.9921011058451816,0.9422355588897224
BactSNP,C. acnes,0.6585714285714286,1.0,0.7941429801894918
GATK,C. acnes,0.9885714285714285,0.9829545454545454,0.9857549857549858
Samtools,C. acnes,0.8685714285714285,0.9950900163666121,0.927536231884058
VarScan,C. acnes,0.4514285714285714,0.8517520215633423,0.5901027077497666
Snippy,C. acnes,0.0014285714285714286,0.25,0.002840909090909091
AccuSNV,C. acnes,0.95,1.0,0.9743589743589743
Breseq,C. acnes,0.8357142857142857,0.02491376006132618,0.0483850957363219
freeBayes,C. acnes,0.9185714285714286,0.9968992248062015,0.9561338289962825
BactSNP,K. pneumoniae,0.6657142857142857,1.0,0.7993138936535163
GATK,K. pneumoniae,0.99,0.953232462173315,0.9712683952347583
Samtools,K. pneumoniae,0.8757142857142857,0.9967479674796748,0.932319391634981
VarScan,K. pneumoniae,0.43857142857142856,0.8078947368421052,0.5685185185185185
Snippy,K. pneumoniae,0.0,0.0,0.0
AccuSNV,K. pneumoniae,0.9642857142857143,1.0,0.9818181818181818
Breseq,K. pneumoniae,0.8057142857142857,0.01038329835413675,0.02050238103893271
freeBayes,K. pneumoniae,0.9057142857142857,0.9952904238618524,0.9483919222139118
BactSNP,C. difficile,0.6614285714285715,1.0,0.7962166809974205
GATK,C. difficile,0.9757142857142858,0.9687943262411347,0.9722419928825623
Samtools,C. difficile,0.8714285714285714,0.993485342019544,0.928462709284627
VarScan,C. difficile,0.47714285714285715,0.7405764966740577,0.580364900086881
Snippy,C. difficile,0.002857142857142857,0.18181818181818182,0.005625879043600563
AccuSNV,C. difficile,0.95,1.0,0.9743589743589743
Breseq,C. difficile,0.8171428571428572,0.014324351397375538,0.028155148651309313
freeBayes,C. difficile,0.8871428571428571,0.9920127795527156,0.9366515837104072
BactSNP,S. aureus,0.6557142857142857,1.0,0.7920621225194133
GATK,S. aureus,0.9885714285714285,0.9664804469273743,0.9774011299435028
Samtools,S. aureus,0.8771428571428571,0.9935275080906149,0.9317147192716236
VarScan,S. aureus,0.4714285714285714,0.873015873015873,0.6122448979591837
Snippy,S. aureus,0.0,0.0,0.0
AccuSNV,S. aureus,0.9528571428571428,1.0,0.9758595464520848
Breseq,S. aureus,0.8257142857142857,0.021876537602664548,0.04262379705763062
freeBayes,S. aureus,0.9028571428571428,0.9921507064364207,0.9454001495886313
BactSNP,S. pneumoniae,0.6428571428571429,1.0,0.782608695652174
GATK,S. pneumoniae,0.9771428571428571,0.9647390691114246,0.9709013484740951
Samtools,S. pneumoniae,0.8671428571428571,0.9950819672131147,0.9267175572519084
VarScan,S. pneumoniae,0.4514285714285714,0.8229166666666666,0.5830258302583026
Snippy,S. pneumoniae,0.0,0.0,0.0
AccuSNV,S. pneumoniae,0.95,1.0,0.9743589743589743
Breseq,S. pneumoniae,0.8314285714285714,0.03049834931614526,0.05883839660314411
freeBayes,S. pneumoniae,0.8914285714285715,1.0,0.9425981873111783
