Tools,Species,Recall,Precision,F1-score
BactSNP,E. coli,0.9585714285714285,1.0,0.9788475565280816
GATK,E. coli,0.9857142857142858,0.9871244635193133,0.9864188706218727
Samtools,E. coli,0.9885714285714285,0.9942528735632183,0.9914040114613181
VarScan,E. coli,0.9671428571428572,0.8206060606060606,0.8878688524590164
Snippy,E. coli,0.7628571428571429,0.3852813852813853,0.5119846596356663
AccuSNV,E. coli,0.9871428571428571,1.0,0.9935298346513299
Breseq,E. coli,0.9614285714285714,0.173408915228034,0.29382230953940186
freeBayes,E. coli,0.9042857142857142,0.998422712933754,0.9490254872563718
BactSNP,C. acnes,0.97,1.0,0.9847715736040609
GATK,C. acnes,0.9914285714285714,0.9871977240398293,0.9893086243763364
Samtools,C. acnes,0.9871428571428571,0.9942446043165467,0.9906810035842294
VarScan,C. acnes,0.9628571428571429,0.9413407821229051,0.9519774011299436
Snippy,C. acnes,0.7928571428571428,0.5566700100300903,0.6540954625810254
AccuSNV,C. acnes,0.99,1.0,0.9949748743718593
Breseq,C. acnes,0.9714285714285714,0.30727519204699505,0.4668726398901476
freeBayes,C. acnes,0.9257142857142857,1.0,0.9614243323442137
BactSNP,K. pneumoniae,0.9742857142857143,1.0,0.9869753979739508
GATK,K. pneumoniae,0.9928571428571429,0.976123595505618,0.9844192634560907
Samtools,K. pneumoniae,0.9942857142857143,0.9957081545064378,0.9949964260185847
VarScan,K. pneumoniae,0.9614285714285714,0.9231824417009602,0.9419174247725682
Snippy,K. pneumoniae,0.7928571428571428,0.3517110266159696,0.4872695346795435
AccuSNV,K. pneumoniae,0.99,1.0,0.9949748743718593
Breseq,K. pneumoniae,0.9714285714285714,0.11394101876675604,0.20395920815836832
freeBayes,K. pneumoniae,0.9114285714285715,1.0,0.953662182361734
BactSNP,C. difficile,0.9557142857142857,1.0,0.9773557341124909
GATK,C. difficile,0.98,0.9758179231863442,0.977904490377762
Samtools,C. difficile,0.9828571428571429,0.9942196531791907,0.9885057471264368
VarScan,C. difficile,0.9614285714285714,0.8349875930521092,0.8937583001328021
Snippy,C. difficile,0.7371428571428571,0.3879699248120301,0.5083743842364532
AccuSNV,C. difficile,0.98,1.0,0.98989898989899
Breseq,C. difficile,0.9571428571428572,0.18356164383561643,0.3080459770114943
freeBayes,C. difficile,0.8942857142857142,1.0,0.9441930618401206
BactSNP,S. aureus,0.9528571428571428,1.0,0.9758595464520848
GATK,S. aureus,0.99,0.9774330042313117,0.9836763662171752
Samtools,S. aureus,0.99,0.9928366762177651,0.9914163090128756
VarScan,S. aureus,0.9471428571428572,0.8959459459459459,0.9208333333333333
Snippy,S. aureus,0.7885714285714286,0.5082872928176796,0.6181410974244121
AccuSNV,S. aureus,0.99,1.0,0.9949748743718593
Breseq,S. aureus,0.95,0.2695581678151601,0.419955794126934
freeBayes,S. aureus,0.91,1.0,0.9528795811518325
BactSNP,S. pneumoniae,0.9328571428571428,1.0,0.9652623798965262
GATK,S. pneumoniae,0.98,0.9758179231863442,0.977904490377762
Samtools,S. pneumoniae,0.9842857142857143,0.9927953890489913,0.9885222381635581
VarScan,S. pneumoniae,0.9557142857142857,0.892,0.9227586206896552
Snippy,S. pneumoniae,0.7471428571428571,0.5703380588876772,0.6468769325912183
AccuSNV,S. pneumoniae,0.9871428571428571,1.0,0.9935298346513299
Breseq,S. pneumoniae,0.95,0.3321678321678322,0.49222797927461137
freeBayes,S. pneumoniae,0.9,1.0,0.9473684210526315
